numberOfCandidates,polledToRegRatio,registeredVoters,rejectedVotes,seat,seatName,seatStatus,validVotes,votesPolled,votingResults,femaleTurnout,maleTurnout,totalTurnout
11,0.6097,269579,5430,NA-1,Chitral,Result is Announced,158925,164355,"[{'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Moulana Abdul Akbar Chitrali', 'candidateVotes': 48616}, {'candidateParty': 'Pakistan Rah-e-Haq Party', 'candidateName': 'Saeed ur Rehman', 'candidateVotes': 3223}, {'candidateParty': 'Independent', 'candidateName': 'Muhammad Yahya', 'candidateVotes': 698}, {'candidateParty': 'Independent', 'candidateName': 'Shahzada Muhammad Taimur Khisrao', 'candidateVotes': 2414}, {'candidateParty': 'Awami National Party', 'candidateName': 'Eid Ul Hussain', 'candidateVotes': 3613}, {'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'Muhammad Amjad', 'candidateVotes': 6755}, {'candidateParty': 'Independent', 'candidateName': 'Taqdira Ajmal', 'candidateVotes': 681}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Abdul Latif', 'candidateVotes': 38481}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Iftikhar Ud Din', 'candidateVotes': 21016}, {'candidateParty': 'Independent', 'candidateName': 'Nisar Dastageer', 'candidateVotes': 793}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Saleem Khan', 'candidateVotes': 32635}]",0.6157,0.6049,0.6096
10,0.4329,382974,8721,NA-2,Swat-I,Result is Announced,157060,165781,"[{'candidateParty': 'Pashtoonkhwa Milli Awami Party', 'candidateName': 'Muhammad Mukhtar', 'candidateVotes': 3381}, {'candidateParty': 'Independent', 'candidateName': 'Ishtiaq Ahmad', 'candidateVotes': 165}, {'candidateParty': 'Independent', 'candidateName': 'Malak Muhammad Didar Khan', 'candidateVotes': 148}, {'candidateParty': 'Independent', 'candidateName': 'Miraj Muhammad', 'candidateVotes': 453}, {'candidateParty': 'Awami National Party', 'candidateName': 'Mumtaz Ahmad', 'candidateVotes': 14618}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Amir Muqam', 'candidateVotes': 41125}, {'candidateParty': 'Independent', 'candidateName': 'Said Qamar', 'candidateVotes': 1410}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Haider Ali Khan', 'candidateVotes': 61687}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Naveed Iqbal', 'candidateVotes': 18055}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Amjad Ali Khan', 'candidateVotes': 16018}]",0.2495,0.5703,0.4328
8,0.4035,401124,6452,NA-3,Swat-II,Result is Announced,155420,161872,"[{'candidateParty': 'Awami National Party', 'candidateName': 'Abdul Karim', 'candidateVotes': 21895}, {'candidateParty': 'Independent', 'candidateName': 'Hujjat Ullah', 'candidateVotes': 16747}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Shahryar Amirzeb', 'candidateVotes': 22046}, {'candidateParty': 'Jamiat Ulma-e-Islam Nazryati Pakistan', 'candidateName': 'Shakeel Ahmad', 'candidateVotes': 1368}, {'candidateParty': 'Independent', 'candidateName': 'Aftab Shahid', 'candidateVotes': 1991}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Mian Muhammad Shahbaz Sharif', 'candidateVotes': 22756}, {'candidateParty': 'Independent', 'candidateName': 'Ali Khan', 'candidateVotes': 455}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Saleem Rehman', 'candidateVotes': 68162}]",0.1878,0.5675,0.4035
11,0.3922,409013,6522,NA-4,Swat-Ill,Result is Announced,153909,160431,"[{'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Feroz Shah', 'candidateVotes': 14494}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Murad Saeed', 'candidateVotes': 71600}, {'candidateParty': 'Qaumi Watan Party', 'candidateName': 'Tal Hayat Khan', 'candidateVotes': 2240}, {'candidateParty': 'Allah-o-Akbar Tehreek', 'candidateName': 'Ibrahim', 'candidateVotes': 904}, {'candidateParty': 'Tehreek-e-Labbaik Pakistan', 'candidateName': 'Muhammad Raza Khan', 'candidateVotes': 1579}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Qamar Zaman', 'candidateVotes': 12328}, {'candidateParty': 'Independent', 'candidateName': 'Muhammad Mosa Khan', 'candidateVotes': 251}, {'candidateParty': 'Pashtoonkhwa Milli Awami Party', 'candidateName': 'Khurshaid Ali', 'candidateVotes': 1464}, {'candidateParty': 'Awami National Party', 'candidateName': 'Muhammad Salim Khan', 'candidateVotes': 30975}, {'candidateParty': 'Independent', 'candidateName': 'Shahzad', 'candidateVotes': 532}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Qari Mahmood', 'candidateVotes': 17542}]",0.2047,0.5308,0.3922
10,0.4826,447414,8256,NA-5,Upper Dir,Result is Announced,207664,215920,"[{'candidateParty': 'Independent', 'candidateName': 'HANIF ULLAH KHAN', 'candidateVotes': 1241}, {'candidateParty': 'Awami National Party', 'candidateName': 'IMRAN KHAN', 'candidateVotes': 8529}, {'candidateParty': 'Pak Sarzameen Party', 'candidateName': 'INAYATUL HAQ', 'candidateVotes': 371}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'MUHAMMAD NISAR KHAN', 'candidateVotes': 14462}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'NAJMUDDIN KHAN', 'candidateVotes': 53967}, {'candidateParty': 'Independent', 'candidateName': 'RIAZULLAH', 'candidateVotes': 2861}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'SAHIBZADA SIBGHATULLAH', 'candidateVotes': 66545}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'SAHIBZADA TARIQULLAH', 'candidateVotes': 57657}, {'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'SUBHAN ALI', 'candidateVotes': 1910}, {'candidateParty': 'Pakistan Muslim League', 'candidateName': 'UMAR ZAIB KHAN', 'candidateVotes': 121}]",0.3792,0.5516,0.4825
8,0.489,351245,4955,NA-6,Lower Dir-I,Result is Announced,166820,171775,"[{'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Ahmad Hassan', 'candidateVotes': 27774}, {'candidateParty': 'Allah-o-Akbar Tehreek', 'candidateName': 'Amjad Ali', 'candidateVotes': 818}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Asad Ullah', 'candidateVotes': 36665}, {'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'Habib Ullah', 'candidateVotes': 675}, {'candidateParty': 'Tehreek-e-Labbaik Pakistan', 'candidateName': 'Ihsan Ullah', 'candidateVotes': 3166}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Javed Akhtar', 'candidateVotes': 3600}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Mehboob Shah', 'candidateVotes': 63440}, {'candidateParty': 'Awami National Party', 'candidateName': 'Muhammad Zahid Khan', 'candidateVotes': 30682}]",0.3547,0.5841,0.489
8,0.4422,330592,4455,NA-7,Lower Dir-II,Result is Announced,141723,146178,"[{'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'Abdul Ghafar Khan', 'candidateVotes': 305}, {'candidateParty': 'Independent', 'candidateName': 'Mubarak Jan', 'candidateVotes': 185}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Muhammad Bashir Khan', 'candidateVotes': 63017}, {'candidateParty': 'Allah-o-Akbar Tehreek', 'candidateName': 'Muhammad Khalid', 'candidateVotes': 1313}, {'candidateParty': 'Awami National Party', 'candidateName': 'Nazir Khan', 'candidateVotes': 19543}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Siraj Ul Haq', 'candidateVotes': 46040}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Sobia Shahid', 'candidateVotes': 1256}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Syed Shahid Ahmad Jan', 'candidateVotes': 10064}]",0.3124,0.5289,0.4421
13,0.4824,386449,5591,NA-8,Malakand,Result is Announced,180838,186429,"[{'candidateParty': 'Independent', 'candidateName': 'Alamgir', 'candidateVotes': 400}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Amir Nawab Khan', 'candidateVotes': 3292}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Bilawal Bhutto Zardari', 'candidateVotes': 43724}, {'candidateParty': 'Independent', 'candidateName': 'Fazal Muhammad', 'candidateVotes': 565}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Gul Naseeb Khan', 'candidateVotes': 31739}, {'candidateParty': 'Independent', 'candidateName': 'Hussain Khan', 'candidateVotes': 195}, {'candidateParty': 'Awami National Party', 'candidateName': 'Inam Ullah Khan', 'candidateVotes': 11406}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Junaid Akbar', 'candidateVotes': 81310}, {'candidateParty': 'Independent', 'candidateName': 'Mian Gul Kurram', 'candidateVotes': 3836}, {'candidateParty': 'Independent', 'candidateName': 'Muhammad Khan', 'candidateVotes': 1986}, {'candidateParty': 'Independent', 'candidateName': 'Shams Ul Haq', 'candidateVotes': 985}, {'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'Taj Badshah', 'candidateVotes': 244}, {'candidateParty': 'Qaumi Watan Party', 'candidateName': 'Zafar Yab Khan', 'candidateVotes': 1156}]",0.3827,0.5593,0.4824
7,0.4062,445474,7632,NA-9,Buner,Result is Announced,173336,180968,"[{'candidateParty': 'Awami National Party', 'candidateName': 'ABDUR RAUF', 'candidateVotes': 38015}, {'candidateParty': 'Awami Workers Party', 'candidateName': 'FANOOS GUJJAR', 'candidateVotes': 11729}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'ISTIQBAL KHAN', 'candidateVotes': 23354}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'KAMRAN KHAN', 'candidateVotes': 38358}, {'candidateParty': 'Independent', 'candidateName': 'MIAN MOEEN UD DIN', 'candidateVotes': 3297}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'SHER AKBAR KHAN', 'candidateVotes': 58037}, {'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'SIR MIR KHAN', 'candidateVotes': 546}]",0.2136,0.5564,0.4062
9,0.3427,374343,4632,NA-10,Shangla,Result is Announced,123670,128302,"[{'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Amir Sultan', 'candidateVotes': 20800}, {'candidateParty': 'Awami Workers Party', 'candidateName': 'Bakht Nasib Khan', 'candidateVotes': 1200}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Hamid Iqbal Khan', 'candidateVotes': 5642}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Ibadullah Khan', 'candidateVotes': 34070}, {'candidateParty': 'Independent', 'candidateName': 'Praviz Ahmad', 'candidateVotes': 1093}, {'candidateParty': 'Awami National Party', 'candidateName': 'Sadeed ur Rahman', 'candidateVotes': 32665}, {'candidateParty': 'Independent', 'candidateName': 'Safeer Khan', 'candidateVotes': 121}, {'candidateParty': 'Independent', 'candidateName': 'Said Fareen', 'candidateVotes': 247}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Waqar Ahmad Khan', 'candidateVotes': 27832}]",0.0781,0.5447,0.3427
17,0.4089,154620,1529,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan,Result is Announced,61700,63229,"[{'candidateParty': 'Pakistan Muslim League', 'candidateName': 'Mehboobullah Jan', 'candidateVotes': 12627}, {'candidateParty': 'Independent', 'candidateName': 'Syed Gul Badshah', 'candidateVotes': 4487}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Haji Misar Khan', 'candidateVotes': 33}, {'candidateParty': 'Independent', 'candidateName': 'Muhammad Naseer', 'candidateVotes': 26}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Malak Nor Wali Shah', 'candidateVotes': 4185}, {'candidateParty': 'Independent', 'candidateName': 'Muhammad Yaseen', 'candidateVotes': 27}, {'candidateParty': 'Independent', 'candidateName': 'Dost Muhammad Shakir', 'candidateVotes': 14148}, {'candidateParty': 'Pak Sarzameen Party', 'candidateName': 'Juma Din', 'candidateVotes': 17}, {'candidateParty': 'Independent', 'candidateName': 'Abdul Qayum', 'candidateVotes': 194}, {'candidateParty': 'Independent', 'candidateName': 'Said Jan', 'candidateVotes': 111}, {'candidateParty': 'Independent', 'candidateName': 'Haji Mir Dad', 'candidateVotes': 32}, {'candidateParty': 'Independent', 'candidateName': 'Shehzad Latif', 'candidateVotes': 66}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Afreen Khan', 'candidateVotes': 15859}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Aurang Zeb', 'candidateVotes': 9584}, {'candidateParty': 'Independent', 'candidateName': 'Sher Baz', 'candidateVotes': 26}, {'candidateParty': 'Qaumi Watan Party', 'candidateName': 'Noor Ul Amin', 'candidateVotes': 183}, {'candidateParty': 'Allah-o-Akbar Tehreek', 'candidateName': 'Bakht Jahan', 'candidateVotes': 95}]",0.2793,0.504,0.4089
8,0.355,258155,3455,NA-12,Battagram,Result is Announced,88188,91643,"[{'candidateParty': 'Independent', 'candidateName': 'Rasheed Ahmed', 'candidateVotes': 11791}, {'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Muhammad Nawaz Khan', 'candidateVotes': 34270}, {'candidateParty': 'Independent', 'candidateName': 'Saeed Ahmed', 'candidateVotes': 3356}, {'candidateParty': 'Awami National Party', 'candidateName': 'Misbah Ullah Babar', 'candidateVotes': 990}, {'candidateParty': 'Qaumi Watan Party', 'candidateName': 'Rustam Khan', 'candidateVotes': 536}, {'candidateParty': 'Pakistan Muslim League', 'candidateName': 'Sabir Hussain Shah', 'candidateVotes': 937}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Muhammad Yousaf', 'candidateVotes': 23881}, {'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Sardar Malik Jan', 'candidateVotes': 12427}]",0.1348,0.508,0.3549
14,0.5966,526974,7600,NA-13,Mansehra-I,Result is Announced,253554,261154,"[{'candidateParty': 'Independent', 'candidateName': 'Saleh Muhammad', 'candidateVotes': 109262}, {'candidateParty': 'Tehreek-e-Labbaik Pakistan', 'candidateName': 'Aamir Shahzad', 'candidateVotes': 4731}, {'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Sardar Shah JehanYousaf', 'candidateVotes': 107808}, {'candidateParty': 'Pakistan Muslim League', 'candidateName': 'Nargis Ali', 'candidateVotes': 588}, {'candidateParty': 'Independent', 'candidateName': 'Muhammad Gulfam Swati', 'candidateVotes': 202}, {'candidateParty': 'Independent', 'candidateName': 'Afsar Khan', 'candidateVotes': 291}, {'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Muhammad Baseer Khan', 'candidateVotes': 19716}, {'candidateParty': 'Independent', 'candidateName': 'Ambereen Ahsan', 'candidateVotes': 376}, {'candidateParty': 'Awami National Party', 'candidateName': 'Iffat Kalsoom', 'candidateVotes': 183}, {'candidateParty': 'Independent', 'candidateName': 'Muhammad Banaris', 'candidateVotes': 482}, {'candidateParty': 'Independent', 'candidateName': 'Sardar Muhammad Sultan', 'candidateVotes': 5459}, {'candidateParty': 'Humdardan-e-Watan Pakistan', 'candidateName': 'Abdul Salam', 'candidateVotes': 142}, {'candidateParty': 'Independent', 'candidateName': 'Samar Islam', 'candidateVotes': 3544}, {'candidateParty': 'Pak Sarzameen Party', 'candidateName': 'Muhammad Javed', 'candidateVotes': 751}]",0.4355,0.5421,0.4955
