candidateName,candidateParty,candidateVotes,seat,seatName
Moulana Abdul Akbar Chitrali,Muttahida Majlis-e-Amal Pakistan,48616,NA-1,Chitral
Saeed ur Rehman,Pakistan Rah-e-Haq Party,3223,NA-1,Chitral
Muhammad Yahya,Independent,698,NA-1,Chitral
Shahzada Muhammad Taimur Khisrao,Independent,2414,NA-1,Chitral
Eid Ul Hussain,Awami National Party,3613,NA-1,Chitral
Muhammad Amjad,All Pakistan Muslim League,6755,NA-1,Chitral
Taqdira Ajmal,Independent,681,NA-1,Chitral
Abdul Latif,Pakistan Tehreek-e-Insaf,38481,NA-1,Chitral
Iftikhar Ud Din,Pakistan Muslim League (N),21016,NA-1,Chitral
Nisar Dastageer,Independent,793,NA-1,Chitral
Saleem Khan,Pakistan Peoples Party Parliamentarians,32635,NA-1,Chitral
Muhammad Mukhtar,Pashtoonkhwa Milli Awami Party,3381,NA-2,Swat-I
Ishtiaq Ahmad,Independent,165,NA-2,Swat-I
Malak Muhammad Didar Khan,Independent,148,NA-2,Swat-I
Miraj Muhammad,Independent,453,NA-2,Swat-I
Mumtaz Ahmad,Awami National Party,14618,NA-2,Swat-I
Amir Muqam,Pakistan Muslim League (N),41125,NA-2,Swat-I
Said Qamar,Independent,1410,NA-2,Swat-I
Haider Ali Khan,Pakistan Tehreek-e-Insaf,61687,NA-2,Swat-I
Naveed Iqbal,Muttahida Majlis-e-Amal Pakistan,18055,NA-2,Swat-I
Amjad Ali Khan,Pakistan Peoples Party Parliamentarians,16018,NA-2,Swat-I
Abdul Karim,Awami National Party,21895,NA-3,Swat-II
Hujjat Ullah,Independent,16747,NA-3,Swat-II
Shahryar Amirzeb,Pakistan Peoples Party Parliamentarians,22046,NA-3,Swat-II
Shakeel Ahmad,Jamiat Ulma-e-Islam Nazryati Pakistan,1368,NA-3,Swat-II
Aftab Shahid,Independent,1991,NA-3,Swat-II
Mian Muhammad Shahbaz Sharif,Pakistan Muslim League (N),22756,NA-3,Swat-II
Ali Khan,Independent,455,NA-3,Swat-II
Saleem Rehman,Pakistan Tehreek-e-Insaf,68162,NA-3,Swat-II
Feroz Shah,Pakistan Muslim League (N),14494,NA-4,Swat-Ill
Murad Saeed,Pakistan Tehreek-e-Insaf,71600,NA-4,Swat-Ill
Tal Hayat Khan,Qaumi Watan Party,2240,NA-4,Swat-Ill
Ibrahim,Allah-o-Akbar Tehreek,904,NA-4,Swat-Ill
Muhammad Raza Khan,Tehreek-e-Labbaik Pakistan,1579,NA-4,Swat-Ill
Qamar Zaman,Pakistan Peoples Party Parliamentarians,12328,NA-4,Swat-Ill
Muhammad Mosa Khan,Independent,251,NA-4,Swat-Ill
Khurshaid Ali,Pashtoonkhwa Milli Awami Party,1464,NA-4,Swat-Ill
Muhammad Salim Khan,Awami National Party,30975,NA-4,Swat-Ill
Shahzad,Independent,532,NA-4,Swat-Ill
Qari Mahmood,Muttahida Majlis-e-Amal Pakistan,17542,NA-4,Swat-Ill
HANIF ULLAH KHAN,Independent,1241,NA-5,Upper Dir
IMRAN KHAN,Awami National Party,8529,NA-5,Upper Dir
INAYATUL HAQ,Pak Sarzameen Party,371,NA-5,Upper Dir
MUHAMMAD NISAR KHAN,Pakistan Muslim League (N),14462,NA-5,Upper Dir
NAJMUDDIN KHAN,Pakistan Peoples Party Parliamentarians,53967,NA-5,Upper Dir
RIAZULLAH,Independent,2861,NA-5,Upper Dir
SAHIBZADA SIBGHATULLAH,Pakistan Tehreek-e-Insaf,66545,NA-5,Upper Dir
SAHIBZADA TARIQULLAH,Muttahida Majlis-e-Amal Pakistan,57657,NA-5,Upper Dir
SUBHAN ALI,All Pakistan Muslim League,1910,NA-5,Upper Dir
UMAR ZAIB KHAN,Pakistan Muslim League,121,NA-5,Upper Dir
Ahmad Hassan,Pakistan Peoples Party Parliamentarians,27774,NA-6,Lower Dir-I
Amjad Ali,Allah-o-Akbar Tehreek,818,NA-6,Lower Dir-I
Asad Ullah,Muttahida Majlis-e-Amal Pakistan,36665,NA-6,Lower Dir-I
Habib Ullah,All Pakistan Muslim League,675,NA-6,Lower Dir-I
Ihsan Ullah,Tehreek-e-Labbaik Pakistan,3166,NA-6,Lower Dir-I
Javed Akhtar,Pakistan Muslim League (N),3600,NA-6,Lower Dir-I
Mehboob Shah,Pakistan Tehreek-e-Insaf,63440,NA-6,Lower Dir-I
Muhammad Zahid Khan,Awami National Party,30682,NA-6,Lower Dir-I
Abdul Ghafar Khan,All Pakistan Muslim League,305,NA-7,Lower Dir-II
Mubarak Jan,Independent,185,NA-7,Lower Dir-II
Muhammad Bashir Khan,Pakistan Tehreek-e-Insaf,63017,NA-7,Lower Dir-II
Muhammad Khalid,Allah-o-Akbar Tehreek,1313,NA-7,Lower Dir-II
Nazir Khan,Awami National Party,19543,NA-7,Lower Dir-II
Siraj Ul Haq,Muttahida Majlis-e-Amal Pakistan,46040,NA-7,Lower Dir-II
Sobia Shahid,Pakistan Muslim League (N),1256,NA-7,Lower Dir-II
Syed Shahid Ahmad Jan,Pakistan Peoples Party Parliamentarians,10064,NA-7,Lower Dir-II
Alamgir,Independent,400,NA-8,Malakand
Amir Nawab Khan,Pakistan Muslim League (N),3292,NA-8,Malakand
Bilawal Bhutto Zardari,Pakistan Peoples Party Parliamentarians,43724,NA-8,Malakand
Fazal Muhammad,Independent,565,NA-8,Malakand
Gul Naseeb Khan,Muttahida Majlis-e-Amal Pakistan,31739,NA-8,Malakand
Hussain Khan,Independent,195,NA-8,Malakand
Inam Ullah Khan,Awami National Party,11406,NA-8,Malakand
Junaid Akbar,Pakistan Tehreek-e-Insaf,81310,NA-8,Malakand
Mian Gul Kurram,Independent,3836,NA-8,Malakand
Muhammad Khan,Independent,1986,NA-8,Malakand
Shams Ul Haq,Independent,985,NA-8,Malakand
Taj Badshah,All Pakistan Muslim League,244,NA-8,Malakand
Zafar Yab Khan,Qaumi Watan Party,1156,NA-8,Malakand
ABDUR RAUF,Awami National Party,38015,NA-9,Buner
FANOOS GUJJAR,Awami Workers Party,11729,NA-9,Buner
ISTIQBAL KHAN,Muttahida Majlis-e-Amal Pakistan,23354,NA-9,Buner
KAMRAN KHAN,Pakistan Muslim League (N),38358,NA-9,Buner
MIAN MOEEN UD DIN,Independent,3297,NA-9,Buner
SHER AKBAR KHAN,Pakistan Tehreek-e-Insaf,58037,NA-9,Buner
SIR MIR KHAN,All Pakistan Muslim League,546,NA-9,Buner
Amir Sultan,Muttahida Majlis-e-Amal Pakistan,20800,NA-10,Shangla
Bakht Nasib Khan,Awami Workers Party,1200,NA-10,Shangla
Hamid Iqbal Khan,Pakistan Peoples Party Parliamentarians,5642,NA-10,Shangla
Ibadullah Khan,Pakistan Muslim League (N),34070,NA-10,Shangla
Praviz Ahmad,Independent,1093,NA-10,Shangla
Sadeed ur Rahman,Awami National Party,32665,NA-10,Shangla
Safeer Khan,Independent,121,NA-10,Shangla
Said Fareen,Independent,247,NA-10,Shangla
Waqar Ahmad Khan,Pakistan Tehreek-e-Insaf,27832,NA-10,Shangla
Mehboobullah Jan,Pakistan Muslim League,12627,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Syed Gul Badshah,Independent,4487,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Haji Misar Khan,Pakistan Muslim League (N),33,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Muhammad Naseer,Independent,26,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Malak Nor Wali Shah,Pakistan Peoples Party Parliamentarians,4185,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Muhammad Yaseen,Independent,27,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Dost Muhammad Shakir,Independent,14148,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Juma Din,Pak Sarzameen Party,17,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Abdul Qayum,Independent,194,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Said Jan,Independent,111,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Haji Mir Dad,Independent,32,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Shehzad Latif,Independent,66,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Afreen Khan,Muttahida Majlis-e-Amal Pakistan,15859,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Aurang Zeb,Pakistan Tehreek-e-Insaf,9584,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Sher Baz,Independent,26,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Noor Ul Amin,Qaumi Watan Party,183,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Bakht Jahan,Allah-o-Akbar Tehreek,95,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan
Rasheed Ahmed,Independent,11791,NA-12,Battagram
Muhammad Nawaz Khan,Pakistan Tehreek-e-Insaf,34270,NA-12,Battagram
Saeed Ahmed,Independent,3356,NA-12,Battagram
Misbah Ullah Babar,Awami National Party,990,NA-12,Battagram
Rustam Khan,Qaumi Watan Party,536,NA-12,Battagram
Sabir Hussain Shah,Pakistan Muslim League,937,NA-12,Battagram
Muhammad Yousaf,Muttahida Majlis-e-Amal Pakistan,23881,NA-12,Battagram
Sardar Malik Jan,Pakistan Peoples Party Parliamentarians,12427,NA-12,Battagram
Saleh Muhammad,Independent,109262,NA-13,Mansehra-I
Aamir Shahzad,Tehreek-e-Labbaik Pakistan,4731,NA-13,Mansehra-I
Sardar Shah JehanYousaf,Pakistan Muslim League (N),107808,NA-13,Mansehra-I
Nargis Ali,Pakistan Muslim League,588,NA-13,Mansehra-I
Muhammad Gulfam Swati,Independent,202,NA-13,Mansehra-I
Afsar Khan,Independent,291,NA-13,Mansehra-I
Muhammad Baseer Khan,Muttahida Majlis-e-Amal Pakistan,19716,NA-13,Mansehra-I
Ambereen Ahsan,Independent,376,NA-13,Mansehra-I
Iffat Kalsoom,Awami National Party,183,NA-13,Mansehra-I
Muhammad Banaris,Independent,482,NA-13,Mansehra-I
Sardar Muhammad Sultan,Independent,5459,NA-13,Mansehra-I
Abdul Salam,Humdardan-e-Watan Pakistan,142,NA-13,Mansehra-I
Samar Islam,Independent,3544,NA-13,Mansehra-I
Muhammad Javed,Pak Sarzameen Party,751,NA-13,Mansehra-I
Muhammad Wajid khan,Independent,362,NA-14,Mansehra-cum-Torghar
Muhammad Asif,Qaumi Watan Party,4922,NA-14,Mansehra-cum-Torghar
Zar Gul Khan,Pakistan Tehreek-e-Insaf,59638,NA-14,Mansehra-cum-Torghar
Kifayatullah,Muttahida Majlis-e-Amal Pakistan,45449,NA-14,Mansehra-cum-Torghar
Muhammad Sajjad,Pakistan Muslim League (N),74889,NA-14,Mansehra-cum-Torghar
AHMED SHERYAR KHAN,Independent,972,NA-14,Mansehra-cum-Torghar
