candidateName,candidateParty,candidateVotes,seat,seatName,marginFromWinner
Abdul Latif,Pakistan Tehreek-e-Insaf,38481,NA-1,Chitral,10135.0
Sadeed ur Rahman,Awami National Party,32665,NA-10,Shangla,1405.0
ZULFIQAR ALI SHAH,Pakistan Tehreek-e-Insaf,75559,NA-100,Chiniot-II,856.0
Zafar Zulqarnain Sahi,Pakistan Tehreek-e-Insaf,86575,NA-101,Faisalabad-I,61237.0
MUHAMMAD TALLAL BADAR,Pakistan Muslim League (N),97869,NA-102,Faisalabad-II,11839.0
Sardar Dildar Ahmad Cheema,Pakistan Tehreek-e-Insaf,73320,NA-104,Faisalabad-IV,21779.0
Muhammad Masood Nazir,Independent,69211,NA-105,Faisalabad-V,8651.0
Nisar Ahmad,Pakistan Tehreek-e-Insaf,103799,NA-106,Faisalabad-VI,2520.0
Haji Muhammad Akram Ansari,Pakistan Muslim League (N),102159,NA-107,Faisalabad-VII,24282.0
ABID SHER ALI,Pakistan Muslim League (N),111529,NA-108,Faisalabad-VIII,1211.0
MIAN ABDUL MANNAN,Pakistan Muslim League (N),94476,NA-109,Faisalabad-IX,28429.0
Dost Muhammad Shakir,Independent,14148,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan,1711.0
Muhammad Afzal Khan,Pakistan Muslim League (N),108172,NA-110,Faisalabad-X,6043.0
USAMA HAMZA,Pakistan Tehreek-e-Insaf,85448,NA-111,Toba Tek Singh-I,25108.0
MUHAMMAD ASHFAQ,Pakistan Tehreek-e-Insaf,121031,NA-112,Toba Tek Singh-II,4272.0
CHAUDHARY ASAD UR REHMAN,Pakistan Muslim League (N),106018,NA-113,Toba Tek Singh-III,22256.0
MAKHDOOM SYED FAISAL SALEH HAYAT,Pakistan Peoples Party Parliamentarians,105454,NA-114,Jhang-I,589.0
MUHAMMAD AHMAD,Independent,68515,NA-115,Jhang-II,22919.0
MUHAMMAD ASIF MUAVIA,Independent,70842,NA-116,Jhang-III,19807.0
TARIQ MEHMOOD BAJWA,Independent,68995,NA-117,Nankana Sahib-I,2896.0
Shezra Mansab Ali Khan Kharal,Pakistan Muslim League (N),61413,NA-118,Nankana Sahib-II,2405.0
RANA AFZAAL HUSSAIN,Pakistan Muslim League (N),94072,NA-119,Sheikhupura-I,16159.0
Muhammad Yousaf,Muttahida Majlis-e-Amal Pakistan,23881,NA-12,Battagram,10389.0
Ali Asghar Chaudhary,Pakistan Tehreek-e-Insaf,74165,NA-120,Sheikhupura-II,25509.0
Muhammad Saeed Virk,Pakistan Tehreek-e-Insaf,71308,NA-121,Sheikhupura-III,30314.0
Ali Salaman,Pakistan Tehreek-e-Insaf,64616,NA-122,Sheikhupura-IV,31384.0
wajid azeem,Pakistan Tehreek-e-Insaf,72535,NA-123,Lahore-I,24658.0
Muhammad Nauman Qaiser,Pakistan Tehreek-e-Insaf,80981,NA-124,Lahore-II,65313.0
Yasmin Raashid,Pakistan Tehreek-e-Insaf,106857,NA-125,Lahore-III,15470.0
Mehr Ishtiaq Ahmad Anwar,Pakistan Muslim League (N),102677,NA-126,Lahore-IV,3057.0
JAMSHED IQBAL,Pakistan Tehreek-e-Insaf,66818,NA-127,Lahore-V,46447.0
Ijaz Ahmad,Pakistan Tehreek-e-Insaf,52774,NA-128,Lahore-VI,45425.0
Abdul Aleem Khan,Pakistan Tehreek-e-Insaf,94879,NA-129,Lahore-VII,8142.0
Sardar Shah JehanYousaf,Pakistan Muslim League (N),107808,NA-13,Mansehra-I,1454.0
Khawaja Ahmad Hasan,Pakistan Muslim League (N),104625,NA-130,Lahore-VIII,22780.0
Khawaja Saad Rafique,Pakistan Muslim League (N),83633,NA-131,Lahore-IX,680.0
Ch Muhammad Mansha Sindhu,Pakistan Tehreek-e-Insaf,49093,NA-132,Lahore-X,46741.0
Ejaz ahmad chaudary,Pakistan Tehreek-e-Insaf,77231,NA-133,Lahore-XI,12447.0
Malik Zaheer Abbas,Pakistan Tehreek-e-Insaf,45991,NA-134,Lahore-XII,30300.0
MALIK SAIF UL MALOOK KHOKHAR,Pakistan Muslim League (N),55431,NA-135,Lahore-XIII,9334.0
MALIK ASAD ALI,Pakistan Tehreek-e-Insaf,44669,NA-136,Lahore-XIV,44162.0
Sardar Asif Ali Daula,Pakistan Tehreek-e-Insaf,42930,NA-137,Kasur-I,78277.0
RASHID TUFAIL,Pakistan Tehreek-e-Insaf,78458,NA-138,Kasur-II,30927.0
AZEEM UD DIN ZAHID,Pakistan Tehreek-e-Insaf,112893,NA-139,Kasur-III,8874.0
Zar Gul Khan,Pakistan Tehreek-e-Insaf,59638,NA-14,Mansehra-cum-Torghar,15251.0
RANA MUHAMMAD HAYAT KHAN,Pakistan Muslim League (N),124385,NA-140,Kasur-IV,236.0
SYED SUMSAM ALI SHAH BUKHARI,Pakistan Tehreek-e-Insaf,60217,NA-141,Okara-I,32624.0
Rao Hassan Sikandar,Pakistan Tehreek-e-Insaf,76592,NA-142,Okara-II,64141.0
SYED GULZAR SIBTAIN SHAH,Pakistan Tehreek-e-Insaf,89177,NA-143,Okara-III,53811.0
MIAN MANZOOR AHMAD KHAN WATTOO,Independent,105585,NA-144,Okara-IV,13085.0
Muhammad Shah Khagga,Pakistan Tehreek-e-Insaf,90683,NA-145,Pakpattan-I,27898.0
