candidateName,candidateParty,candidateVotes,seat,seatName,marginFromWinner
Saleem Khan,Pakistan Peoples Party Parliamentarians,32635,NA-1,Chitral,15981.0
Waqar Ahmad Khan,Pakistan Tehreek-e-Insaf,27832,NA-10,Shangla,6238.0
SYED INAYAT ALI SHAH,Pakistan Peoples Party Parliamentarians,40542,NA-100,Chiniot-II,35873.0
Iftikhar Ali,Tehreek-e-Labbaik Pakistan,9962,NA-101,Faisalabad-I,137850.0
MUHAMMAD SHAHJAHAN KHAN,Pakistan Peoples Party Parliamentarians,19546,NA-102,Faisalabad-II,90162.0
Khalid Mehmood Gill,Independent,57362,NA-104,Faisalabad-IV,37737.0
Mian Muhammad Farooq,Pakistan Muslim League (N),56540,NA-105,Faisalabad-V,21322.0
Saeed Iqbal,Pakistan Peoples Party Parliamentarians,12799,NA-106,Faisalabad-VI,93520.0
Muhammad Zeeshan,Tehreek-e-Labbaik Pakistan,9034,NA-107,Faisalabad-VII,117407.0
SHAHBAZ ALI GULZAR,Tehreek-e-Labbaik Pakistan,8075,NA-108,Faisalabad-VIII,104665.0
MUHAMMAD ASAD IQBAL,Tehreek-e-Labbaik Pakistan,9975,NA-109,Faisalabad-IX,112930.0
Mehboobullah Jan,Pakistan Muslim League,12627,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan,3232.0
Hafiz Umer Farooq,Tehreek-e-Labbaik Pakistan,10782,NA-110,Faisalabad-X,103433.0
AMJAD ALI,Pakistan National Muslim League,34849,NA-111,Toba Tek Singh-I,75707.0
khawar ahmed khan,Independent,6463,NA-112,Toba Tek Singh-II,118840.0
AHMAD SHAHZAD SHAH,Tehreek-e-Labbaik Pakistan,8074,NA-113,Toba Tek Singh-III,120200.0
ALEESHA IFTIKHAR,Independent,65440,NA-114,Jhang-I,40603.0
WAQAS AKRAM,Independent,60598,NA-115,Jhang-II,30836.0
Ameer Abbas Sial,Independent,54176,NA-116,Jhang-III,36473.0
ch bilal ahmed virk,Pakistan Tehreek-e-Insaf,66994,NA-117,Nankana Sahib-I,4897.0
Syed Afzaal Hussain Rizvi,Tehreek-e-Labbaik Pakistan,49345,NA-118,Nankana Sahib-II,14473.0
MUHAMMAD ANWAR RASHEED,Tehreek-e-Labbaik Pakistan,21493,NA-119,Sheikhupura-I,88738.0
Sardar Malik Jan,Pakistan Peoples Party Parliamentarians,12427,NA-12,Battagram,21843.0
Syed Afzal Hussain Rizvi,Tehreek-e-Labbaik Pakistan,35453,NA-120,Sheikhupura-II,64221.0
Khurram Munawar Manj,Independent,29301,NA-121,Sheikhupura-III,72321.0
Saif Ullah,Tehreek-e-Labbaik Pakistan,34645,NA-122,Sheikhupura-IV,61355.0
m latif khan saraa,Tehreek-e-Labbaik Pakistan,23952,NA-123,Lahore-I,73241.0
Sumaira Nureen,Tehreek-e-Labbaik Pakistan,14832,NA-124,Lahore-II,131462.0
Mamoona Hamid,Tehreek-e-Labbaik Pakistan,14276,NA-125,Lahore-III,108051.0
Waqas Ahmed,Tehreek-e-Labbaik Pakistan,16368,NA-126,Lahore-IV,89366.0
MUHAMMAD ZAHEER,Tehreek-e-Labbaik Pakistan,23140,NA-127,Lahore-V,90125.0
Muhammad Ashraf Asif,Tehreek-e-Labbaik Pakistan,20734,NA-128,Lahore-VI,77465.0
Muhammad Yousuf,Tehreek-e-Labbaik Pakistan,12875,NA-129,Lahore-VII,90146.0
Muhammad Baseer Khan,Muttahida Majlis-e-Amal Pakistan,19716,NA-13,Mansehra-I,89546.0
Hafeez Ur Rehman,Tehreek-e-Labbaik Pakistan,10755,NA-130,Lahore-VIII,116650.0
Syed Murtaza Hassan,Tehreek-e-Labbaik Pakistan,9780,NA-131,Lahore-IX,74533.0
