candidateName,candidateParty,candidateVotes,seat,seatName,winMargin
Moulana Abdul Akbar Chitrali,Muttahida Majlis-e-Amal Pakistan,48616,NA-1,Chitral,10135.0
Ibadullah Khan,Pakistan Muslim League (N),34070,NA-10,Shangla,1405.0
QAISER AHMED SHEIKH,Pakistan Muslim League (N),76415,NA-100,Chiniot-II,856.0
Muhammad Asim Nazir,Independent,147812,NA-101,Faisalabad-I,61237.0
NAWAB SHER,Pakistan Tehreek-e-Insaf,109708,NA-102,Faisalabad-II,11839.0
Ch  Muhammad Shahbaz Babar,Pakistan Muslim League (N),95099,NA-104,Faisalabad-IV,21779.0
Raza Nasrullah,Pakistan Tehreek-e-Insaf,77862,NA-105,Faisalabad-V,8651.0
Rana Sana Ullah Khan,Pakistan Muslim League (N),106319,NA-106,Faisalabad-VI,2520.0
Khurram Shahzad,Pakistan Tehreek-e-Insaf,126441,NA-107,Faisalabad-VII,24282.0
FARRUKH HABIB,Pakistan Tehreek-e-Insaf,112740,NA-108,Faisalabad-VIII,1211.0
FAIZ ULLAH,Pakistan Tehreek-e-Insaf,122905,NA-109,Faisalabad-IX,28429.0
Afreen Khan,Muttahida Majlis-e-Amal Pakistan,15859,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan,1711.0
Raja Riaz Ahmad,Pakistan Tehreek-e-Insaf,114215,NA-110,Faisalabad-X,6043.0
CHAUDHARY KHALID JAVED,Pakistan Muslim League (N),110556,NA-111,Toba Tek Singh-I,25108.0
MUHAMMAD JUNAID ANWAR CHAUDHRY,Pakistan Muslim League (N),125303,NA-112,Toba Tek Singh-II,4272.0
MUHAMMAD RIAZ KHAN,Pakistan Tehreek-e-Insaf,128274,NA-113,Toba Tek Singh-III,22256.0
SAHIBZADA MUHAMMAD MEHBOOB SULTAN,Pakistan Tehreek-e-Insaf,106043,NA-114,Jhang-I,589.0
GHULAM BIBI,Pakistan Tehreek-e-Insaf,91434,NA-115,Jhang-II,22919.0
Muhammad Ameer Sultan,Pakistan Tehreek-e-Insaf,90649,NA-116,Jhang-III,19807.0
CH MUHAMMAD BARJEES TAHIR,Pakistan Muslim League (N),71891,NA-117,Nankana Sahib-I,2896.0
Ijaz Ahmad Shah,Pakistan Tehreek-e-Insaf,63818,NA-118,Nankana Sahib-II,2405.0
RAHAT AMAN ULLAH BHATTI,Pakistan Tehreek-e-Insaf,110231,NA-119,Sheikhupura-I,16159.0
Muhammad Nawaz Khan,Pakistan Tehreek-e-Insaf,34270,NA-12,Battagram,10389.0
Rana Tanveer Hussain,Pakistan Muslim League (N),99674,NA-120,Sheikhupura-II,25509.0
Javed Latif,Pakistan Muslim League (N),101622,NA-121,Sheikhupura-III,30314.0
Sardar Muhammad Arfan Dogar,Pakistan Muslim League (N),96000,NA-122,Sheikhupura-IV,31384.0
muhammad Riaz,Pakistan Muslim League (N),97193,NA-123,Lahore-I,24658.0
Muhammad Hamza Shehbaz Sharif,Pakistan Muslim League (N),146294,NA-124,Lahore-II,65313.0
Waheed Alam Khan,Pakistan Muslim League (N),122327,NA-125,Lahore-III,15470.0
