numberOfCandidates,polledToRegRatio,registeredVoters,rejectedVotes,seat,seatName,seatStatus,validVotes,votesPolled,votingResults
11,0.6097,269579,5430,NA-1,Chitral,Result is Announced,158925,164355,"[{'seat': 'NA-1', 'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Moulana Abdul Akbar Chitrali', 'seatName': 'Chitral', 'candidateVotes': 48616}, {'seat': 'NA-1', 'candidateParty': 'Pakistan Rah-e-Haq Party', 'candidateName': 'Saeed ur Rehman', 'seatName': 'Chitral', 'candidateVotes': 3223}, {'seat': 'NA-1', 'candidateParty': 'Independent', 'candidateName': 'Muhammad Yahya', 'seatName': 'Chitral', 'candidateVotes': 698}, {'seat': 'NA-1', 'candidateParty': 'Independent', 'candidateName': 'Shahzada Muhammad Taimur Khisrao', 'seatName': 'Chitral', 'candidateVotes': 2414}, {'seat': 'NA-1', 'candidateParty': 'Awami National Party', 'candidateName': 'Eid Ul Hussain', 'seatName': 'Chitral', 'candidateVotes': 3613}, {'seat': 'NA-1', 'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'Muhammad Amjad', 'seatName': 'Chitral', 'candidateVotes': 6755}, {'seat': 'NA-1', 'candidateParty': 'Independent', 'candidateName': 'Taqdira Ajmal', 'seatName': 'Chitral', 'candidateVotes': 681}, {'seat': 'NA-1', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Abdul Latif', 'seatName': 'Chitral', 'candidateVotes': 38481}, {'seat': 'NA-1', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Iftikhar Ud Din', 'seatName': 'Chitral', 'candidateVotes': 21016}, {'seat': 'NA-1', 'candidateParty': 'Independent', 'candidateName': 'Nisar Dastageer', 'seatName': 'Chitral', 'candidateVotes': 793}, {'seat': 'NA-1', 'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Saleem Khan', 'seatName': 'Chitral', 'candidateVotes': 32635}]"
10,0.4329,382974,8721,NA-2,Swat-I,Result is Announced,157060,165781,"[{'seat': 'NA-2', 'candidateParty': 'Pashtoonkhwa Milli Awami Party', 'candidateName': 'Muhammad Mukhtar', 'seatName': 'Swat-I', 'candidateVotes': 3381}, {'seat': 'NA-2', 'candidateParty': 'Independent', 'candidateName': 'Ishtiaq Ahmad', 'seatName': 'Swat-I', 'candidateVotes': 165}, {'seat': 'NA-2', 'candidateParty': 'Independent', 'candidateName': 'Malak Muhammad Didar Khan', 'seatName': 'Swat-I', 'candidateVotes': 148}, {'seat': 'NA-2', 'candidateParty': 'Independent', 'candidateName': 'Miraj Muhammad', 'seatName': 'Swat-I', 'candidateVotes': 453}, {'seat': 'NA-2', 'candidateParty': 'Awami National Party', 'candidateName': 'Mumtaz Ahmad', 'seatName': 'Swat-I', 'candidateVotes': 14618}, {'seat': 'NA-2', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Amir Muqam', 'seatName': 'Swat-I', 'candidateVotes': 41125}, {'seat': 'NA-2', 'candidateParty': 'Independent', 'candidateName': 'Said Qamar', 'seatName': 'Swat-I', 'candidateVotes': 1410}, {'seat': 'NA-2', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Haider Ali Khan', 'seatName': 'Swat-I', 'candidateVotes': 61687}, {'seat': 'NA-2', 'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Naveed Iqbal', 'seatName': 'Swat-I', 'candidateVotes': 18055}, {'seat': 'NA-2', 'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Amjad Ali Khan', 'seatName': 'Swat-I', 'candidateVotes': 16018}]"
8,0.4035,401124,6452,NA-3,Swat-II,Result is Announced,155420,161872,"[{'seat': 'NA-3', 'candidateParty': 'Awami National Party', 'candidateName': 'Abdul Karim', 'seatName': 'Swat-II', 'candidateVotes': 21895}, {'seat': 'NA-3', 'candidateParty': 'Independent', 'candidateName': 'Hujjat Ullah', 'seatName': 'Swat-II', 'candidateVotes': 16747}, {'seat': 'NA-3', 'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Shahryar Amirzeb', 'seatName': 'Swat-II', 'candidateVotes': 22046}, {'seat': 'NA-3', 'candidateParty': 'Jamiat Ulma-e-Islam Nazryati Pakistan', 'candidateName': 'Shakeel Ahmad', 'seatName': 'Swat-II', 'candidateVotes': 1368}, {'seat': 'NA-3', 'candidateParty': 'Independent', 'candidateName': 'Aftab Shahid', 'seatName': 'Swat-II', 'candidateVotes': 1991}, {'seat': 'NA-3', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Mian Muhammad Shahbaz Sharif', 'seatName': 'Swat-II', 'candidateVotes': 22756}, {'seat': 'NA-3', 'candidateParty': 'Independent', 'candidateName': 'Ali Khan', 'seatName': 'Swat-II', 'candidateVotes': 455}, {'seat': 'NA-3', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Saleem Rehman', 'seatName': 'Swat-II', 'candidateVotes': 68162}]"
11,0.3922,409013,6522,NA-4,Swat-Ill,Result is Announced,153909,160431,"[{'seat': 'NA-4', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Feroz Shah', 'seatName': 'Swat-Ill', 'candidateVotes': 14494}, {'seat': 'NA-4', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Murad Saeed', 'seatName': 'Swat-Ill', 'candidateVotes': 71600}, {'seat': 'NA-4', 'candidateParty': 'Qaumi Watan Party', 'candidateName': 'Tal Hayat Khan', 'seatName': 'Swat-Ill', 'candidateVotes': 2240}, {'seat': 'NA-4', 'candidateParty': 'Allah-o-Akbar Tehreek', 'candidateName': 'Ibrahim', 'seatName': 'Swat-Ill', 'candidateVotes': 904}, {'seat': 'NA-4', 'candidateParty': 'Tehreek-e-Labbaik Pakistan', 'candidateName': 'Muhammad Raza Khan', 'seatName': 'Swat-Ill', 'candidateVotes': 1579}, {'seat': 'NA-4', 'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Qamar Zaman', 'seatName': 'Swat-Ill', 'candidateVotes': 12328}, {'seat': 'NA-4', 'candidateParty': 'Independent', 'candidateName': 'Muhammad Mosa Khan', 'seatName': 'Swat-Ill', 'candidateVotes': 251}, {'seat': 'NA-4', 'candidateParty': 'Pashtoonkhwa Milli Awami Party', 'candidateName': 'Khurshaid Ali', 'seatName': 'Swat-Ill', 'candidateVotes': 1464}, {'seat': 'NA-4', 'candidateParty': 'Awami National Party', 'candidateName': 'Muhammad Salim Khan', 'seatName': 'Swat-Ill', 'candidateVotes': 30975}, {'seat': 'NA-4', 'candidateParty': 'Independent', 'candidateName': 'Shahzad', 'seatName': 'Swat-Ill', 'candidateVotes': 532}, {'seat': 'NA-4', 'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Qari Mahmood', 'seatName': 'Swat-Ill', 'candidateVotes': 17542}]"
10,0.4826,447414,8256,NA-5,Upper Dir,Result is Announced,207664,215920,"[{'seat': 'NA-5', 'candidateParty': 'Independent', 'candidateName': 'HANIF ULLAH KHAN', 'seatName': 'Upper Dir', 'candidateVotes': 1241}, {'seat': 'NA-5', 'candidateParty': 'Awami National Party', 'candidateName': 'IMRAN KHAN', 'seatName': 'Upper Dir', 'candidateVotes': 8529}, {'seat': 'NA-5', 'candidateParty': 'Pak Sarzameen Party', 'candidateName': 'INAYATUL HAQ', 'seatName': 'Upper Dir', 'candidateVotes': 371}, {'seat': 'NA-5', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'MUHAMMAD NISAR KHAN', 'seatName': 'Upper Dir', 'candidateVotes': 14462}, {'seat': 'NA-5', 'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'NAJMUDDIN KHAN', 'seatName': 'Upper Dir', 'candidateVotes': 53967}, {'seat': 'NA-5', 'candidateParty': 'Independent', 'candidateName': 'RIAZULLAH', 'seatName': 'Upper Dir', 'candidateVotes': 2861}, {'seat': 'NA-5', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'SAHIBZADA SIBGHATULLAH', 'seatName': 'Upper Dir', 'candidateVotes': 66545}, {'seat': 'NA-5', 'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'SAHIBZADA TARIQULLAH', 'seatName': 'Upper Dir', 'candidateVotes': 57657}, {'seat': 'NA-5', 'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'SUBHAN ALI', 'seatName': 'Upper Dir', 'candidateVotes': 1910}, {'seat': 'NA-5', 'candidateParty': 'Pakistan Muslim League', 'candidateName': 'UMAR ZAIB KHAN', 'seatName': 'Upper Dir', 'candidateVotes': 121}]"
8,0.489,351245,4955,NA-6,Lower Dir-I,Result is Announced,166820,171775,"[{'seat': 'NA-6', 'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Ahmad Hassan', 'seatName': 'Lower Dir-I', 'candidateVotes': 27774}, {'seat': 'NA-6', 'candidateParty': 'Allah-o-Akbar Tehreek', 'candidateName': 'Amjad Ali', 'seatName': 'Lower Dir-I', 'candidateVotes': 818}, {'seat': 'NA-6', 'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Asad Ullah', 'seatName': 'Lower Dir-I', 'candidateVotes': 36665}, {'seat': 'NA-6', 'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'Habib Ullah', 'seatName': 'Lower Dir-I', 'candidateVotes': 675}, {'seat': 'NA-6', 'candidateParty': 'Tehreek-e-Labbaik Pakistan', 'candidateName': 'Ihsan Ullah', 'seatName': 'Lower Dir-I', 'candidateVotes': 3166}, {'seat': 'NA-6', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Javed Akhtar', 'seatName': 'Lower Dir-I', 'candidateVotes': 3600}, {'seat': 'NA-6', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Mehboob Shah', 'seatName': 'Lower Dir-I', 'candidateVotes': 63440}, {'seat': 'NA-6', 'candidateParty': 'Awami National Party', 'candidateName': 'Muhammad Zahid Khan', 'seatName': 'Lower Dir-I', 'candidateVotes': 30682}]"
8,0.4422,330592,4455,NA-7,Lower Dir-II,Result is Announced,141723,146178,"[{'seat': 'NA-7', 'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'Abdul Ghafar Khan', 'seatName': 'Lower Dir-II', 'candidateVotes': 305}, {'seat': 'NA-7', 'candidateParty': 'Independent', 'candidateName': 'Mubarak Jan', 'seatName': 'Lower Dir-II', 'candidateVotes': 185}, {'seat': 'NA-7', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Muhammad Bashir Khan', 'seatName': 'Lower Dir-II', 'candidateVotes': 63017}, {'seat': 'NA-7', 'candidateParty': 'Allah-o-Akbar Tehreek', 'candidateName': 'Muhammad Khalid', 'seatName': 'Lower Dir-II', 'candidateVotes': 1313}, {'seat': 'NA-7', 'candidateParty': 'Awami National Party', 'candidateName': 'Nazir Khan', 'seatName': 'Lower Dir-II', 'candidateVotes': 19543}, {'seat': 'NA-7', 'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Siraj Ul Haq', 'seatName': 'Lower Dir-II', 'candidateVotes': 46040}, {'seat': 'NA-7', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Sobia Shahid', 'seatName': 'Lower Dir-II', 'candidateVotes': 1256}, {'seat': 'NA-7', 'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Syed Shahid Ahmad Jan', 'seatName': 'Lower Dir-II', 'candidateVotes': 10064}]"
13,0.4824,386449,5591,NA-8,Malakand,Result is Announced,180838,186429,"[{'seat': 'NA-8', 'candidateParty': 'Independent', 'candidateName': 'Alamgir', 'seatName': 'Malakand', 'candidateVotes': 400}, {'seat': 'NA-8', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Amir Nawab Khan', 'seatName': 'Malakand', 'candidateVotes': 3292}, {'seat': 'NA-8', 'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Bilawal Bhutto Zardari', 'seatName': 'Malakand', 'candidateVotes': 43724}, {'seat': 'NA-8', 'candidateParty': 'Independent', 'candidateName': 'Fazal Muhammad', 'seatName': 'Malakand', 'candidateVotes': 565}, {'seat': 'NA-8', 'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Gul Naseeb Khan', 'seatName': 'Malakand', 'candidateVotes': 31739}, {'seat': 'NA-8', 'candidateParty': 'Independent', 'candidateName': 'Hussain Khan', 'seatName': 'Malakand', 'candidateVotes': 195}, {'seat': 'NA-8', 'candidateParty': 'Awami National Party', 'candidateName': 'Inam Ullah Khan', 'seatName': 'Malakand', 'candidateVotes': 11406}, {'seat': 'NA-8', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Junaid Akbar', 'seatName': 'Malakand', 'candidateVotes': 81310}, {'seat': 'NA-8', 'candidateParty': 'Independent', 'candidateName': 'Mian Gul Kurram', 'seatName': 'Malakand', 'candidateVotes': 3836}, {'seat': 'NA-8', 'candidateParty': 'Independent', 'candidateName': 'Muhammad Khan', 'seatName': 'Malakand', 'candidateVotes': 1986}, {'seat': 'NA-8', 'candidateParty': 'Independent', 'candidateName': 'Shams Ul Haq', 'seatName': 'Malakand', 'candidateVotes': 985}, {'seat': 'NA-8', 'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'Taj Badshah', 'seatName': 'Malakand', 'candidateVotes': 244}, {'seat': 'NA-8', 'candidateParty': 'Qaumi Watan Party', 'candidateName': 'Zafar Yab Khan', 'seatName': 'Malakand', 'candidateVotes': 1156}]"
7,0.4062,445474,7632,NA-9,Buner,Result is Announced,173336,180968,"[{'seat': 'NA-9', 'candidateParty': 'Awami National Party', 'candidateName': 'ABDUR RAUF', 'seatName': 'Buner', 'candidateVotes': 38015}, {'seat': 'NA-9', 'candidateParty': 'Awami Workers Party', 'candidateName': 'FANOOS GUJJAR', 'seatName': 'Buner', 'candidateVotes': 11729}, {'seat': 'NA-9', 'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'ISTIQBAL KHAN', 'seatName': 'Buner', 'candidateVotes': 23354}, {'seat': 'NA-9', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'KAMRAN KHAN', 'seatName': 'Buner', 'candidateVotes': 38358}, {'seat': 'NA-9', 'candidateParty': 'Independent', 'candidateName': 'MIAN MOEEN UD DIN', 'seatName': 'Buner', 'candidateVotes': 3297}, {'seat': 'NA-9', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'SHER AKBAR KHAN', 'seatName': 'Buner', 'candidateVotes': 58037}, {'seat': 'NA-9', 'candidateParty': 'All Pakistan Muslim League', 'candidateName': 'SIR MIR KHAN', 'seatName': 'Buner', 'candidateVotes': 546}]"
9,0.3427,374343,4632,NA-10,Shangla,Result is Announced,123670,128302,"[{'seat': 'NA-10', 'candidateParty': 'Muttahida Majlis-e-Amal Pakistan', 'candidateName': 'Amir Sultan', 'seatName': 'Shangla', 'candidateVotes': 20800}, {'seat': 'NA-10', 'candidateParty': 'Awami Workers Party', 'candidateName': 'Bakht Nasib Khan', 'seatName': 'Shangla', 'candidateVotes': 1200}, {'seat': 'NA-10', 'candidateParty': 'Pakistan Peoples Party Parliamentarians', 'candidateName': 'Hamid Iqbal Khan', 'seatName': 'Shangla', 'candidateVotes': 5642}, {'seat': 'NA-10', 'candidateParty': 'Pakistan Muslim League (N)', 'candidateName': 'Ibadullah Khan', 'seatName': 'Shangla', 'candidateVotes': 34070}, {'seat': 'NA-10', 'candidateParty': 'Independent', 'candidateName': 'Praviz Ahmad', 'seatName': 'Shangla', 'candidateVotes': 1093}, {'seat': 'NA-10', 'candidateParty': 'Awami National Party', 'candidateName': 'Sadeed ur Rahman', 'seatName': 'Shangla', 'candidateVotes': 32665}, {'seat': 'NA-10', 'candidateParty': 'Independent', 'candidateName': 'Safeer Khan', 'seatName': 'Shangla', 'candidateVotes': 121}, {'seat': 'NA-10', 'candidateParty': 'Independent', 'candidateName': 'Said Fareen', 'seatName': 'Shangla', 'candidateVotes': 247}, {'seat': 'NA-10', 'candidateParty': 'Pakistan Tehreek-e-Insaf', 'candidateName': 'Waqar Ahmad Khan', 'seatName': 'Shangla', 'candidateVotes': 27832}]"
